id	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
british cinema	924	0.09956709956709957	5.303	2.4123376623376624	42.424	2.511904761904762
british columbia	1133	0.5736981465136805	12.18	1.5481023830538394	39.188	2.12180052956752
british columbia road transport	12	0.0	0.0	0.5	33.333	0.5
british comics	158	0.05063291139240506	2.532	1.360759493670886	37.342	1.4113924050632911
british crime-related	543	0.2265193370165746	8.656	2.248618784530387	45.488	2.4751381215469612
british currency	31	0.0	0.0	2.129032258064516	48.387	2.129032258064516
british empire	951	0.7791798107255521	20.4	5.520504731861199	61.199	6.299684542586751
british folk rock task force	17	0.0	0.0	2.176470588235294	70.588	2.176470588235294
british indian ocean territory	4	0.25	25.0	5.75	75.0	6.0
british library-related	84	1.0833333333333333	23.81	4.511904761904762	59.524	5.595238095238095
british military history	16385	0.16136710405859017	6.646	2.7447665547757096	55.185	2.9061336588342996
british museum-related	160	1.25	28.125	4.30625	55.625	5.55625
british overseas territories	242	0.8966942148760331	24.38	4.3429752066115705	54.545	5.239669421487603
british royalty	237	0.4388185654008439	20.675	4.514767932489452	67.932	4.953586497890296
british television	940	0.04042553191489362	3.617	0.9085106382978724	23.723	0.948936170212766
british virgin islands	39	0.5641025641025641	15.385	3.051282051282051	43.59	3.6153846153846154
britney spears	85	0.0	0.0	0.5294117647058824	21.176	0.5294117647058824
broadcast engineering and technology	32	0.75	25.0	1.59375	59.375	2.34375
brunei	115	1.4260869565217391	25.217	4.226086956521739	46.957	5.6521739130434785
buckethead	13	0.0	0.0	0.6153846153846154	46.154	0.6153846153846154
buddhism	1016	1.030511811023622	24.311	6.8671259842519685	70.374	7.897637795275591
buffyverse	61	0.03278688524590164	3.279	1.3934426229508197	42.623	1.4262295081967213
bulgaria	694	0.5648414985590778	12.248	4.501440922190202	55.764	5.066282420749279
bull riding	5	0.2	20.0	0.2	20.0	0.4
burkina faso	65	1.6153846153846154	29.231	4.246153846153846	52.308	5.861538461538461
burundi	62	1.2580645161290323	29.032	2.5483870967741935	50.0	3.806451612903226
bus transport	514	0.07003891050583658	4.475	0.7879377431906615	33.852	0.857976653696498
c/c++	53	0.2830188679245283	11.321	2.0377358490566038	49.057	2.3207547169811322
cal poly pomona	8	0.0	0.0	0.75	25.0	0.75
california	7520	0.39561170212765956	10.0	1.6676861702127659	38.936	2.0632978723404256
california road transport	202	0.01485148514851485	1.485	0.21782178217821782	11.881	0.23267326732673269
california state university	89	0.02247191011235955	2.247	1.101123595505618	29.213	1.1235955056179776
calvinism	639	0.46635367762128327	16.119	4.082942097026604	54.773	4.549295774647887
cambodia	179	1.0558659217877095	30.726	5.4581005586592175	56.425	6.5139664804469275
cambrian explosion	23	19.391304347826086	95.652	3.130434782608696	65.217	22.52173913043478
cameroon	130	0.7307692307692307	23.846	1.7769230769230768	33.846	2.5076923076923077
